sender,amount,category,timestamp,device,location,label,receiver
user_164,60.11,mobile_recharge,2025-08-28 08:53:53.861657,device_16,CA,0,user_33
user_36,369.55,mobile_recharge,2025-08-27 23:40:53.861792,device_6,IN,0,user_134
user_109,20.73,groceries,2025-08-28 10:49:53.861813,device_15,IN,0,user_96
user_155,18.14,electronics,2025-08-27 20:06:53.861826,device_45,IN,0,user_93
user_108,114.12,luxury,2025-08-28 08:47:53.861837,device_1,CA,0,user_135
user_179,214.19,gambling,2025-08-28 12:58:53.861847,device_14,TX,0,user_119
user_27,50.91,groceries,2025-08-28 06:01:53.861858,device_23,IN,0,user_97
user_68,404.53,mobile_recharge,2025-08-28 02:36:53.861868,device_35,NY,0,user_93
user_97,44.01,gambling,2025-08-27 20:49:53.861878,device_40,TX,0,user_6
user_148,100.18,groceries,2025-08-28 16:43:53.861888,device_43,CA,0,user_52
user_198,148.25,groceries,2025-08-28 10:20:53.861899,device_7,UK,0,user_117
user_72,229.44,gambling,2025-08-28 12:43:53.861910,device_24,TX,0,user_47
user_54,336.74,mobile_recharge,2025-08-27 18:57:53.861921,device_42,NY,0,user_143
user_156,319.31,luxury,2025-08-28 09:55:53.861931,device_11,UK,0,user_79
user_98,138.62,mobile_recharge,2025-08-27 18:47:53.861940,device_36,CA,0,user_43
user_176,165.52,groceries,2025-08-28 10:27:53.861950,device_3,TX,0,user_104
user_103,137.53,electronics,2025-08-27 22:55:53.861960,device_46,TX,0,user_124
user_55,329.44,travel,2025-08-27 20:20:53.861970,device_30,CA,0,user_16
user_68,74.12,mobile_recharge,2025-08-27 23:07:53.861979,device_35,TX,0,user_144
user_192,294.37,luxury,2025-08-28 04:39:53.861988,device_24,CA,0,user_152
user_36,257.22,groceries,2025-08-28 16:40:53.861998,device_8,CA,0,user_129
user_161,84.19,mobile_recharge,2025-08-28 03:52:53.862009,device_39,NY,0,user_175
user_99,193.9,travel,2025-08-28 00:13:53.862019,device_17,IN,0,user_46
