user,amount,category,timestamp,device,location,suspicious
user_181,186.96,mobile_recharge,2025-08-29 11:31:55.972031,device_21,IN,0
user_116,472.11,travel,2025-08-29 10:55:55.972176,device_2,IN,0
user_66,388.57,groceries,2025-08-28 16:00:55.972209,device_9,NY,0
user_42,330.31,electronics,2025-08-29 09:31:55.972226,device_42,SG,0
user_12,468.85,luxury,2025-08-28 14:27:55.972240,device_14,NY,0
user_54,165.58,groceries,2025-08-29 07:03:55.972272,device_6,NY,0
user_56,433.08,travel,2025-08-29 10:30:55.972284,device_49,CA,0
user_131,216.5,mobile_recharge,2025-08-29 11:51:55.972296,device_25,CA,0
user_102,439.58,mobile_recharge,2025-08-29 02:03:55.972306,device_12,SG,0
user_113,134.21,mobile_recharge,2025-08-28 16:49:55.972315,device_38,NY,0
user_16,488.91,gambling,2025-08-28 16:42:55.972324,device_43,UK,0
user_8,400.88,electronics,2025-08-29 02:18:55.972334,device_22,IN,0
user_94,157.0,electronics,2025-08-28 20:48:55.972343,device_36,CA,0
user_97,223.46,travel,2025-08-28 16:56:55.972352,device_16,SG,0
user_56,72.31,gambling,2025-08-28 16:45:55.972361,device_44,SG,0
user_56,216.78,luxury,2025-08-29 12:51:55.972370,device_41,UK,0
user_26,230.0,mobile_recharge,2025-08-28 19:06:55.972381,device_49,SG,0
user_62,466.89,mobile_recharge,2025-08-29 12:36:55.972392,device_37,TX,0
user_154,157.3,gambling,2025-08-29 11:24:55.972401,device_31,NY,0
user_95,142.23,travel,2025-08-29 11:52:55.972410,device_2,IN,0
user_107,332.31,luxury,2025-08-28 17:09:55.972418,device_48,TX,0
user_189,337.67,gambling,2025-08-29 08:09:55.972484,device_42,SG,0
user_180,426.38,travel,2025-08-29 07:08:55.972503,device_5,CA,0
user_136,463.1,gambling,2025-08-29 12:59:55.972516,device_25,IN,0
user_51,372.44,travel,2025-08-28 23:57:55.972530,device_30,CA,0
user_140,143.02,luxury,2025-08-29 10:02:55.972540,device_22,NY,0
user_65,156.69,electronics,2025-08-28 21:36:55.972553,device_30,SG,0
user_6,17.5,gambling,2025-08-29 10:13:55.972564,device_35,CA,0
user_142,246.34,gambling,2025-08-29 12:29:55.972574,device_22,NY,0
user_55,241.27,electronics,2025-08-29 10:44:55.972583,device_41,NY,0
user_141,374.03,travel,2025-08-29 09:54:55.972592,device_19,NY,0
user_61,199.2,mobile_recharge,2025-08-28 23:00:55.972603,device_7,UK,0
user_187,409.82,electronics,2025-08-28 18:30:55.972615,device_13,UK,0
user_186,263.16,electronics,2025-08-28 15:50:55.972624,device_29,NY,0
user_42,374.52,electronics,2025-08-29 13:16:55.972633,device_37,UK,0
user_180,271.49,electronics,2025-08-29 03:56:55.972643,device_4,CA,0
user_167,164.72,gambling,2025-08-29 09:23:55.972653,device_15,CA,0
user_159,315.45,mobile_recharge,2025-08-28 20:31:55.972662,device_35,IN,0
user_179,90.15,electronics,2025-08-29 09:25:55.972670,device_15,NY,0
user_175,145.43,luxury,2025-08-29 01:10:55.972681,device_39,CA,0
user_200,309.15,groceries,2025-08-29 07:08:55.972697,device_34,IN,0
user_163,92.92,travel,2025-08-29 01:00:55.972708,device_8,UK,0
user_32,197.58,groceries,2025-08-29 07:41:55.972720,device_8,IN,0
user_156,301.22,electronics,2025-08-29 13:28:55.972730,device_38,IN,0
user_84,179.61,mobile_recharge,2025-08-29 03:13:55.972739,device_17,UK,0
user_155,165.29,groceries,2025-08-28 16:41:55.972748,device_36,CA,0
user_167,491.44,travel,2025-08-29 01:14:55.972759,device_6,UK,0
user_15,74.57,travel,2025-08-29 05:14:55.972769,device_33,TX,0
user_87,227.17,groceries,2025-08-29 04:09:55.972778,device_24,TX,0
user_83,243.86,electronics,2025-08-29 07:08:55.972788,device_46,IN,0
user_22,458.25,mobile_recharge,2025-08-29 02:56:55.972798,device_41,NY,0
user_135,468.43,gambling,2025-08-29 11:15:55.972806,device_15,CA,0
user_167,433.63,electronics,2025-08-28 16:22:55.972817,device_12,UK,0
user_33,254.21,mobile_recharge,2025-08-29 01:46:55.972825,device_34,IN,0
user_148,16.41,mobile_recharge,2025-08-28 16:02:55.972834,device_5,UK,0
user_101,94.59,groceries,2025-08-29 13:33:55.972844,device_50,SG,0
user_167,205.96,groceries,2025-08-29 07:34:55.972855,device_34,NY,0
user_152,346.23,mobile_recharge,2025-08-29 06:14:55.972864,device_10,NY,0
user_52,305.96,travel,2025-08-29 09:40:55.972873,device_29,CA,0
user_7,143.17,travel,2025-08-28 18:01:55.972882,device_27,UK,0
user_58,257.0,travel,2025-08-28 16:51:55.972891,device_37,CA,0
user_118,205.56,mobile_recharge,2025-08-28 18:29:55.972900,device_7,NY,0
user_54,143.93,travel,2025-08-29 04:33:55.972908,device_36,TX,0
user_72,168.72,groceries,2025-08-28 22:23:55.972918,device_31,IN,0
user_138,46.08,gambling,2025-08-28 14:17:55.972926,device_9,UK,0
user_104,432.21,electronics,2025-08-29 09:48:55.972965,device_49,CA,0
user_122,142.71,groceries,2025-08-28 15:26:55.972984,device_37,IN,0
user_35,337.25,mobile_recharge,2025-08-28 16:15:55.972995,device_38,UK,0
user_166,452.13,luxury,2025-08-28 16:19:55.973005,device_42,IN,0
user_86,475.18,groceries,2025-08-28 16:52:55.973015,device_50,TX,0
user_185,19.16,mobile_recharge,2025-08-29 09:53:55.973024,device_11,NY,0
user_115,10.58,travel,2025-08-29 11:28:55.973194,device_11,CA,0
user_183,88.74,groceries,2025-08-29 02:15:55.973235,device_46,TX,0
user_136,473.99,gambling,2025-08-29 10:08:55.973269,device_41,UK,0
user_89,354.94,gambling,2025-08-28 17:23:55.973288,device_36,IN,0
user_52,14.35,gambling,2025-08-29 02:32:55.973298,device_13,TX,0
user_181,65.07,groceries,2025-08-29 01:51:55.973308,device_19,UK,0
user_64,352.01,mobile_recharge,2025-08-28 22:28:55.973318,device_38,NY,0
user_151,474.35,travel,2025-08-28 16:15:55.973326,device_9,UK,0
user_124,234.84,groceries,2025-08-29 01:19:55.973335,device_19,IN,0
user_137,207.55,luxury,2025-08-29 09:37:55.973344,device_19,IN,0
user_83,389.47,travel,2025-08-28 20:42:55.973353,device_20,TX,0
user_143,385.46,mobile_recharge,2025-08-28 15:51:55.973362,device_36,IN,0
user_28,493.77,luxury,2025-08-28 18:27:55.973371,device_5,NY,0
user_118,70.03,groceries,2025-08-28 20:53:55.973380,device_2,CA,0
user_10,119.28,groceries,2025-08-28 18:54:55.973390,device_13,IN,0
user_126,275.19,mobile_recharge,2025-08-29 09:08:55.973399,device_31,UK,0
user_103,36.94,groceries,2025-08-29 00:55:55.973408,device_38,SG,0
user_47,49.12,groceries,2025-08-28 14:25:55.973416,device_38,CA,0
user_44,414.26,groceries,2025-08-28 22:58:55.973425,device_8,IN,0
user_116,433.16,gambling,2025-08-29 12:12:55.973433,device_27,UK,0
user_58,469.82,mobile_recharge,2025-08-28 19:30:55.973443,device_1,SG,0
user_47,402.93,mobile_recharge,2025-08-29 05:27:55.973451,device_16,IN,0
user_29,222.32,electronics,2025-08-28 16:15:55.973460,device_2,UK,0
user_4,320.96,electronics,2025-08-28 15:12:55.973469,device_23,IN,0
user_56,79.12,travel,2025-08-29 09:25:55.973478,device_35,UK,0
user_154,90.18,mobile_recharge,2025-08-29 06:32:55.973487,device_11,TX,0
user_34,222.82,groceries,2025-08-29 07:19:55.973497,device_10,UK,0
user_66,238.76,mobile_recharge,2025-08-28 16:10:55.973506,device_40,SG,0
user_113,455.84,travel,2025-08-28 20:54:55.973514,device_4,IN,0
user_34,173.78,travel,2025-08-29 08:04:55.973523,device_43,TX,0
user_86,80.4,gambling,2025-08-29 04:48:55.973532,device_41,NY,0
user_174,450.68,gambling,2025-08-29 11:33:55.973540,device_5,TX,0
user_44,467.77,luxury,2025-08-28 15:58:55.973550,device_4,SG,0
user_67,455.14,luxury,2025-08-28 15:06:55.973560,device_6,SG,0
user_128,468.97,gambling,2025-08-29 12:18:55.973569,device_20,SG,0
user_101,162.08,electronics,2025-08-29 07:26:55.973577,device_34,IN,0
user_197,391.38,mobile_recharge,2025-08-29 06:23:55.973587,device_37,UK,0
user_170,113.98,gambling,2025-08-29 07:57:55.973596,device_18,CA,0
user_87,136.62,travel,2025-08-29 10:15:55.973605,device_32,TX,0
user_44,84.34,gambling,2025-08-29 10:49:55.973614,device_36,SG,0
user_145,464.11,mobile_recharge,2025-08-29 13:31:55.973622,device_36,SG,0
user_113,374.37,mobile_recharge,2025-08-29 01:38:55.973632,device_47,SG,0
user_17,367.71,luxury,2025-08-29 03:16:55.973640,device_38,CA,0
user_106,203.07,travel,2025-08-28 18:01:55.973649,device_24,IN,0
user_143,203.17,groceries,2025-08-29 01:28:55.973657,device_33,CA,0
user_133,316.27,luxury,2025-08-29 00:38:55.973666,device_11,IN,0
user_99,293.22,travel,2025-08-28 16:44:55.973675,device_48,SG,0
user_93,311.55,mobile_recharge,2025-08-28 20:37:55.973683,device_6,NY,0
user_69,303.19,gambling,2025-08-29 02:42:55.973692,device_46,IN,0
user_16,449.17,luxury,2025-08-29 02:43:55.973706,device_36,CA,0
user_155,206.33,gambling,2025-08-29 04:30:55.973715,device_2,TX,0
user_173,29.93,groceries,2025-08-29 06:07:55.973723,device_44,CA,0
user_97,325.72,groceries,2025-08-29 01:59:55.973733,device_47,UK,0
